title,address,bed,bath,toilet,pkn_space,price
3 bedroom semi-detached duplex for sale,Lekki,3,3,4,,36000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,90000000
2 bedroom block of flats for sale,Lekki,2,2,3,,30000000
3 bedroom semi-detached bungalow for sale,Ibeju Lekki,3,3,3,,13000000
2 bedroom semi-detached bungalow for sale,Ibeju Lekki,2,2,2,,11000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,380000000
4 bedroom detached bungalow for sale,Lekki,4,4,5,4.0,40000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,450000000
5 bedroom semi-detached duplex for sale,Lekki,5,5,6,4.0,60000000
4 bedroom semi-detached duplex for sale,Maryland,4,4,5,3.0,80000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,380000000
4 bedroom detached bungalow for sale,Lekki,4,4,5,4.0,40000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,450000000
5 bedroom semi-detached duplex for sale,Lekki,5,5,6,4.0,60000000
4 bedroom semi-detached duplex for sale,Maryland,4,4,5,3.0,80000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,380000000
4 bedroom detached bungalow for sale,Lekki,4,4,5,4.0,40000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,450000000
5 bedroom semi-detached duplex for sale,Lekki,5,5,6,4.0,60000000
4 bedroom semi-detached duplex for sale,Maryland,4,4,5,3.0,80000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,380000000
4 bedroom detached bungalow for sale,Lekki,4,4,5,4.0,40000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,450000000
5 bedroom semi-detached duplex for sale,Lekki,5,5,6,4.0,60000000
4 bedroom semi-detached duplex for sale,Maryland,4,4,5,3.0,80000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom detached duplex for sale,Lekki,5,5,6,,380000000
4 bedroom detached bungalow for sale,Lekki,4,4,5,4.0,40000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,450000000
5 bedroom semi-detached duplex for sale,Lekki,5,5,6,4.0,60000000
4 bedroom semi-detached duplex for sale,Maryland,4,4,5,3.0,80000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
5 bedroom detached duplex for sale,Lekki,5,5,5,700.0,450000000
5 bedroom detached duplex for sale,Lekki,5,5,5,750.0,370000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,5,,60000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
5 bedroom detached duplex for sale,Lekki,5,5,5,700.0,450000000
5 bedroom detached duplex for sale,Lekki,5,5,5,750.0,370000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,5,,60000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
5 bedroom detached duplex for sale,Lekki,5,5,5,700.0,450000000
5 bedroom detached duplex for sale,Lekki,5,5,5,750.0,370000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,5,,60000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
5 bedroom detached duplex for sale,Lekki,5,5,5,700.0,450000000
5 bedroom detached duplex for sale,Lekki,5,5,5,750.0,370000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,5,,60000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
5 bedroom detached duplex for sale,Lekki,5,5,5,700.0,450000000
5 bedroom detached duplex for sale,Lekki,5,5,5,750.0,370000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,5,,60000000
6 bedroom detached duplex for sale,Victoria Island (VI),6,6,7,4.0,450000000
5 bedroom terraced duplex for sale,Lekki,5,5,5,,55000000
5 bedroom semi-detached duplex for sale,Lekki,5,4,4,,65000000
5 bedroom terraced duplex for sale,Lekki,5,4,4,,47000000
6 bedroom detached duplex for sale,Lekki,6,5,5,,80000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,59000000
4 bedroom house for sale,Lekki,4,4,5,,150000000
6 bedroom detached duplex for sale,Victoria Island (VI),6,6,7,4.0,450000000
5 bedroom terraced duplex for sale,Lekki,5,5,5,,55000000
5 bedroom semi-detached duplex for sale,Lekki,5,4,4,,65000000
5 bedroom terraced duplex for sale,Lekki,5,4,4,,47000000
6 bedroom detached duplex for sale,Lekki,6,5,5,,80000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,59000000
4 bedroom house for sale,Lekki,4,4,5,,150000000
6 bedroom detached duplex for sale,Victoria Island (VI),6,6,7,4.0,450000000
5 bedroom terraced duplex for sale,Lekki,5,5,5,,55000000
5 bedroom semi-detached duplex for sale,Lekki,5,4,4,,65000000
5 bedroom terraced duplex for sale,Lekki,5,4,4,,47000000
6 bedroom detached duplex for sale,Lekki,6,5,5,,80000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,59000000
4 bedroom house for sale,Lekki,4,4,5,,150000000
6 bedroom detached duplex for sale,Victoria Island (VI),6,6,7,4.0,450000000
5 bedroom terraced duplex for sale,Lekki,5,5,5,,55000000
5 bedroom semi-detached duplex for sale,Lekki,5,4,4,,65000000
5 bedroom terraced duplex for sale,Lekki,5,4,4,,47000000
6 bedroom detached duplex for sale,Lekki,6,5,5,,80000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,59000000
4 bedroom house for sale,Lekki,4,4,5,,150000000
6 bedroom detached duplex for sale,Victoria Island (VI),6,6,7,4.0,450000000
5 bedroom terraced duplex for sale,Lekki,5,5,5,,55000000
5 bedroom semi-detached duplex for sale,Lekki,5,4,4,,65000000
5 bedroom terraced duplex for sale,Lekki,5,4,4,,47000000
6 bedroom detached duplex for sale,Lekki,6,5,5,,80000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,59000000
4 bedroom house for sale,Lekki,4,4,5,,150000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,8.0,1600000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,4.0,50000000
5 bedroom detached duplex for sale,Ajah,5,5,6,660.0,150000000
4 bedroom detached duplex for sale,Lekki,4,5,6,5.0,90000000
4 bedroom terraced duplex for sale,Ajah,4,4,5,3.0,38000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,75000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,110000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,8.0,1600000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,4.0,50000000
5 bedroom detached duplex for sale,Ajah,5,5,6,660.0,150000000
4 bedroom detached duplex for sale,Lekki,4,5,6,5.0,90000000
4 bedroom terraced duplex for sale,Ajah,4,4,5,3.0,38000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,75000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,110000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,8.0,1600000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,4.0,50000000
5 bedroom detached duplex for sale,Ajah,5,5,6,660.0,150000000
4 bedroom detached duplex for sale,Lekki,4,5,6,5.0,90000000
4 bedroom terraced duplex for sale,Ajah,4,4,5,3.0,38000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,75000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,110000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,8.0,1600000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,4.0,50000000
5 bedroom detached duplex for sale,Ajah,5,5,6,660.0,150000000
4 bedroom detached duplex for sale,Lekki,4,5,6,5.0,90000000
4 bedroom terraced duplex for sale,Ajah,4,4,5,3.0,38000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,75000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,110000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,8.0,1600000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,4.0,50000000
5 bedroom detached duplex for sale,Ajah,5,5,6,660.0,150000000
4 bedroom detached duplex for sale,Lekki,4,5,6,5.0,90000000
4 bedroom terraced duplex for sale,Ajah,4,4,5,3.0,38000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,75000000
5 bedroom detached duplex for sale,Lekki,5,5,6,5.0,110000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
4 bedroom house for sale,Lekki,4,5,6,,90000000
5 bedroom house for sale,Lekki,5,6,7,,120000000
